"id","trilha que pertence","nome do curso","horas de curso","linguagem","framework que aprende","descrição do curso","quais habilidades receberei ao final do curso","projetos a serem entregues","avaliação do curso interna","quais projetos são desenvolvidos","pre requisitos","comentario seu sobre o curso"
"11","Ferramentas de AI para Desenvolvedores","Claude Code na prática: evoluindo um projeto com IA","2h 42min","Claude / Prompt Engineering (IA)","FastAPI, Claude Code, Git","Aprenda a usar o Claude Code de forma profissional, integrando IA ao seu fluxo de desenvolvimento e evoluindo projetos reais com método e controle técnico.","Entender os principais conceitos por trás do uso do Claude Code no desenvolvimento | Estruturar instruções claras e eficientes para obter respostas úteis da IA | Aplicar boas práticas ao utilizar IA na escrita e refatoração de código | Melhorar um projeto real de forma incremental, usando IA como apoio | Revisar, validar e ajustar código gerado por IA com critério técnico | Integrar o uso de IA ao seu fluxo com Git e controle de versão | Manter organização e clareza arquitetural mesmo trabalhando com inteligência artificial","não encontrado","4.7","Introdução – Claude Code | Instalação do Claude Code – Terminal, VSCode e Cursor | Claude Code no Terminal e Repositório GIT Local | O que é um BFF? | Contexto com Claude.md | Gerenciando tamanho do Contexto | Permissões no Claude Code | Comandos Personalizados | Gerando Testes Unitários com Slash-Commands | Claude Code Skill – Parte 1 | Claude Code Skill – Parte 2 | Claude Code Hooks | Esse curso ainda está em produção","Recomendado concluir módulos anteriores da trilha 'Ferramentas de AI para Desenvolvedores' ou ter base em Claude / Prompt Engineering (IA)","Curso intermediário, bom para aprofundar e complementar trilha."
"12","Automatizando Tudo com n8n","Criando agentes de atendimento profissionais no Whatsapp","2h 29min","n8n (No-Code/Low-Code)","n8n","Aprenda a integrar a API Oficial do WhatsApp com n8n para criar agentes de IA profissionais.","Configurar o ambiente: preparar n8n e a infraestrutura (ex.: Railway) para rodar seus fluxos. | Criar o app na Meta: obter credenciais, ativar webhooks e cumprir os pré-requisitos da API Oficial do WhatsApp. | Conectar o número ao n8n: validar envio/recebimento de mensagens e integrar com bancos de dados (contatos, logs, métricas). | Montar o Agente no n8n: desenhar o fluxo, escrever prompts, adicionar tools (CRUD, templates, buscas) e usar RAG quando preciso | Colocar em produção com segurança: monitorar, depurar, escalar e aplicar boas práticas de custos e manutenção contínua.","não encontrado","4.8","Introdução à Trilha | Tech Stack da Trilha | Instalação da Infraestrutura na Railway | Pré-requisitos da API Oficial do WhatsApp | Criando o Aplicativo na Meta | Configurando e Registrando Número Virtual na Meta | Ativando Webhook da Meta no n8n | Conectando Número com API Oficial do WhatsApp no n8n | Quiz – Configurando a API Oficial do WhatsApp | Criando e Conectando Bancos de Dados e OpenAI no n8n | Criando Fluxo e Estrutura do Prompt do Agente de IA | Escrevendo Prompt do Agente de IA | Criando Ferramentas do Agente de IA | Estrutura e Criação da Tabela n8n_chat_histories | Finalizando Tools e Pipeline RAG | Finalização | Quiz – Desenvolvimento do Agente de IA","da API Oficial do WhatsApp","Avaliação interna alta, conteúdo consolidado."
"13","Aplicações AI com Python","LangChain 1.0 na prática - Agentes e RAG com Python","3h 17min","Python","LangChain, RAG","Aprenda a criar sistemas agentes de IA inteligentes com a versão atualizada da biblioteca LangChain.","Configurar o ambiente e entender os principais pacotes do ecossistema LangChain | Usar LCEL (LangChain Expression Language) para construir cadeias de forma declarativa | Criar e compor pipelines de processamento com LLMs | Orquestrar agentes que utilizam ferramentas externas para resolver tarefas complexas | Implementar memória de curto e longo prazo em aplicações conversacionais | Criar e integrar tools customizadas aos seus agentes | Construir sistemas RAG com indexação, embeddings e vector stores","não encontrado","4.8","Apresentação LangChain | Por quê o LangChain é tão relevante? | Preparando seu setup | Introdução ao LCEL e primeiro Pipeline | Seu primeiro agent | Memória | Langsmith e Sumarizze | Sua primeira tool | Consumindo API e tratando erros | Agente DB | O que é RAG | Seu primeiro fluxo com Rag | Agentes e RAG","Recomendado concluir módulos anteriores da trilha 'Aplicações AI com Python' ou ter base em Python","Foco em agentes IA modernos, alta empregabilidade, stack atual do mercado (2025-2026)."
"14","Webdesign com IA","Gerando imagens profissionais com IA","2h 33min","Claude / Prompt Engineering (IA)","Git","Aprenda a criar imagens profissionais com IA para sites, landing pages e e-commerce usando os principais modelos do mercado.","Entender como funcionam os principais modelos de geração de imagem disponíveis hoje | Comparar ferramentas como Gemini, ChatGPT, Grok, Qwen, Seadream e Flux na prática | Aplicar um framework estruturado para construir prompts de imagens profissionais | Criar hero images com pessoas para sites e landing pages | Gerar product shots realistas para e-commerce e campanhas | Produzir mockups de interfaces digitais a partir de prompts | Usar ferramentas agregadoras de modelos para centralizar o acesso e controlar custos | Iterar sobre os resultados para refinar a imagem gerada","não encontrado","4.8","Introdução – Gerando imagens profissionais com IA | Testando Gemini | Testando ChatGPT | Testando Grok | Testando Qwen | Testando Seedream 4.5 | Testando Flux | Introdução – Os princípios para gerar imagens profissionais com IA | Sujeito e Ação | Estilo e Cenário | Cor, Enquadramento e Atmosfera | Bônus: Gerando prompts perfeitos em segundos | Bônus: Biblioteca de Prompts para gerar imagens com IA | Introdução | Upscaling | Restauração | Troca de fundo | Inpainting como editar imagens com IA | Como criar fotos ultrarrealistas do seu rosto (ou de qualquer outra pessoa) | Consistência visual","Recomendado concluir módulos anteriores da trilha 'Webdesign com IA' ou ter base em Claude / Prompt Engineering (IA)","Avaliação interna alta, conteúdo consolidado."
"15","Análise de Dados com Python","Analista de Dados - Comece por aqui","9min","Python","Excel","Conheça o caminho completo para ir do básico ao avançado em análise de dados. Curso de onboarding da Formação Analista de Dados.","Por que Python se tornou a ferramenta padrão para análise de dados | Quais limitações do Excel a programação resolve no dia a dia | Como a Formação Analista de Dados está organizada | O que esperar de cada módulo e em que ordem os temas se conectam | Como aproveitar melhor o conteúdo desde a primeira aula","não encontrado","4.9","Apresentação – Analista de Dados | Por que analisar dados com Python? | Como a Formação está organizada?","Nenhum - curso introdutório / onboarding","Curso de onboarding, curta duração, ideal para entender a trilha antes de investir tempo nos módulos técnicos."
"16","Análise de Dados com IA","Masterclass Claude Code","26min","Claude / Prompt Engineering (IA)","Claude Code","Aprenda a usar o Claude Code para desenvolver aplicações, automatizar tarefas e aumentar sua produtividade com inteligência artificial.","não encontrado","não encontrado","4.9","Masterclass Claude Code","Recomendado concluir módulos anteriores da trilha 'Análise de Dados com IA' ou ter base em Claude / Prompt Engineering (IA)","Avaliação interna alta, conteúdo consolidado."
"17","Análise de Dados com IA","Fundamentos de análise de dados com IA","59min","Python / IA (Claude)","não encontrado","Aprenda a analisar dados lado a lado com as IAs sem precisar saber programar.","O que é analisar dados de verdade e qual é o papel do raciocínio analítico nisso | Como direcionar a IA para fazer análises com precisão | Como revisar e validar os resultados e o código que a IA gera | Análise exploratória de dados: como investigar um conjunto de dados do zero | Como exportar e compartilhar os resultados da IA em planilhas, gráficos e relatórios","não encontrado","4.9","Uma análise de dados feita com IA | O que é “analisar dados”? | Como uma IA consegue analisar dados? | O novo analista de dados | Os dois caminhos para analisar dados com IA | Análise de dados direcionada: engenharia de prompt | Revisando os resultados e o código da IA | Formatos de arquivo: como exportar dados da conversa com a IA | Análise exploratória de dados com IA | A que nível você chegará","Recomendado concluir módulos anteriores da trilha 'Análise de Dados com IA' ou ter base em Python / IA (Claude)","Avaliação interna alta, conteúdo consolidado."
"18","Criando Agentes Pessoais com Hermes Agent","Hermes Agent","1h 59min","Hermes Agent (IA)","Hermes Agent, MCP","Aprenda a criar e configurar agentes de IA com o Hermes Agent, utilizando Skills, MCPs e automações para desenvolver assistentes inteligentes mais completos.","Instalação, configuração e entendimento da arquitetura do Hermes Agent. | Criação de agentes de IA capazes de atuar em diferentes canais. | Integração de ferramentas externas por meio de MCPs e Skills. | Aplicação de boas práticas para construir agentes mais robustos, eficientes e escaláveis.","não encontrado","4.9","Introdução: seja bem-vindo | Entendendo a estrutura do Hermes Agent | Instalando e configurando o seu agente | Conversando com o Hermes em diferentes canais | Skills e Cron: ensinando o Hermes a agir | MCPs: conectando o Hermes ao mundo | Finalização: boas práticas","Recomendado concluir módulos anteriores da trilha 'Criando Agentes Pessoais com Hermes Agent' ou ter base em Hermes Agent (IA)","Avaliação interna alta, conteúdo consolidado."
"19","Análise de Dados com Python","Git e GitHub - Controle de Versão e Colaboração","3h 8min","Python","Git, GitHub","Domine o controle de versões! Curso introdutório de Git e GitHub para salvar e compartilhar seus projetos!","Os fundamentos do Git e do controle de versão; | Como criar, salvar e recuperar versões do seu código; | Trabalhar com repositórios locais e remotos; | Utilizar o GitHub para armazenar e compartilhar projetos; | Criar e gerenciar branches para desenvolver novas funcionalidades; | Resolver conflitos e mesclar alterações no código; | Colaborar com outras pessoas utilizando Pull Requests; | Personalizar seu perfil no GitHub e destacar seus projetos;","O que vamos aprender nesse curso | O que é Git e por que usá-lo? | Instalação do Git | Criando o Primeiro Repositório Local | Git no VSCode | O que é o GitHub e sua importância? | O que é o .gitignore e como utilizá-lo | Conectando um repositório no GitHub | Autenticação com SSH: Uma Alternativa ao Token PAT | Clonando e colaborando com repositórios existentes | Quiz – Introdução ao Git e ao Controle de versão | Branches no Git: A árvore do seu projeto | Combinando branches e lidando com conflitos | Trabalhando em equipe com GitHub | Criando e Gerenciando Pull Requests no GitHub | Colaborando com Projetos Abertos: Entendendo o Fork | Como o GitHub pode ser um portfólio para seus projetos? | Criando um Repositório para seu Perfil | Quiz – Trabalhando com Git e GitHub | Teste Final – Git e GitHub","4.8","O que vamos aprender nesse curso | O que é Git e por que usá-lo? | Instalação do Git | Criando o Primeiro Repositório Local | Git no VSCode | O que é o GitHub e sua importância? | O que é o .gitignore e como utilizá-lo | Conectando um repositório no GitHub | Autenticação com SSH: Uma Alternativa ao Token PAT | Clonando e colaborando com repositórios existentes | Quiz – Introdução ao Git e ao Controle de versão | Branches no Git: A árvore do seu projeto | Combinando branches e lidando com conflitos | Trabalhando em equipe com GitHub | Criando e Gerenciando Pull Requests no GitHub | Colaborando com Projetos Abertos: Entendendo o Fork | Como o GitHub pode ser um portfólio para seus projetos? | Criando um Repositório para seu Perfil | Quiz – Trabalhando com Git e GitHub | Teste Final – Git e GitHub","Recomendado concluir módulos anteriores da trilha 'Análise de Dados com Python' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
"20","Ferramentas de AI para Desenvolvedores","Dominando o Antigravity","2h 16min","IA (Claude/Cursor/Antigravity)","Antigravity, MCP","Aprenda a usar o Google Antigravity do zero e crie sites, sistemas e automações com inteligência artificial sem escrever uma linha de código.","O que são agentes de IA e como eles funcionam na prática | Como instalar e configurar o Antigravity do zero | Como criar projetos completos usando apenas prompts em português | Como usar o subagente de navegação para testes automáticos | Como personalizar o Antigravity com AGENTS.md e Workflows | Como expandir as capacidades da ferramenta com Node.js e MCPs","não encontrado","4.8","Abertura | Como o AntiGravity funciona? | Instalando o AntiGravity | Tour pelo AntiGravity | Errata: Instalação | Plan Mode | Errata: Plan Mode | Rules | Workflows | Nova Localização das Skills no Antigravity IDE | Skills | Instalando o Node.JS | Site com React | Conectando MCPs | Mudanças no Antigravity IDE | Apresentando o Antigravity 2.0 | Mudanças e novas funcionalidades","Recomendado concluir módulos anteriores da trilha 'Ferramentas de AI para Desenvolvedores' ou ter base em IA (Claude/Cursor/Antigravity)","Avaliação interna alta, conteúdo consolidado."
"21","Análise de Dados com Python","APIs para iniciantes - HTTP, Requests e APIs com Python","3h 40min","Python","RAG","Entenda o que são APIs e como usar Python para interagir com elas. Aprenda os conceitos do zero!","Entender como a Internet funciona | Conhecer o protocolo HTTP | Fazer e analisar requisições (Requests) com Python | Compreender códigos de status HTTP | Entender o que é de fato uma API | Acessar APIs REST | Utilizar parâmetros de URL | Autenticar com chaves e tokens | Criar Web Apps com dados reais","Introdução ao curso – APIs para iniciantes | HTTP – o protocolo da Internet | Nosso primeiro Request | Anatomia de um Request | Gerando e analisando Requests | Códigos de status HTTP | Quiz 1 – Entendendo HTTP e requisições | O que é uma interface | O que é uma API | O surgimento da API REST | Acessando nossa primeira API | Schemas de resposta e parâmetros de URL | Combinando Requests de APIs diferentes | Miniprojeto – Web App de popularidade de nomes do IBGE | Quiz 2 – Interfaces e APIs | APIs privadas e autenticação básica | Autenticação Bearer com chave de API | Miniprojeto – Web App de tempo com OpenWeather | A documentação de uma API | Autenticação Bearer com tokens de acesso | JSON Web Tokens (JWTs) e bibliotecas de APIs | Quiz 3 – Autenticação | Miniprojeto – Web App com dados do Spotify | Teste Final","4.9","Introdução ao curso – APIs para iniciantes | HTTP – o protocolo da Internet | Nosso primeiro Request | Anatomia de um Request | Gerando e analisando Requests | Códigos de status HTTP | Quiz 1 – Entendendo HTTP e requisições | O que é uma interface | O que é uma API | O surgimento da API REST | Acessando nossa primeira API | Schemas de resposta e parâmetros de URL | Combinando Requests de APIs diferentes | Miniprojeto – Web App de popularidade de nomes do IBGE | Quiz 2 – Interfaces e APIs | APIs privadas e autenticação básica | Autenticação Bearer com chave de API | Miniprojeto – Web App de tempo com OpenWeather | A documentação de uma API | Autenticação Bearer com tokens de acesso | JSON Web Tokens (JWTs) e bibliotecas de APIs | Quiz 3 – Autenticação | Miniprojeto – Web App com dados do Spotify | Teste Final","Recomendado concluir módulos anteriores da trilha 'Análise de Dados com Python' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
"22","Aplicações AI com Python","FastAPI na Prática: Criando APIs Modernas em Python","2h 47min","Python","FastAPI","Crie APIs modernas com FastAPI, entenda os métodos HTTP, a comunicação entre cliente e servidor e a arquitetura de aplicações web profissionais.","Criar APIs do zero utilizando FastAPI, entendendo como funcionam requisições e respostas HTTP | Trabalhar com os principais métodos HTTP: GET, POST, PUT, PATCH e DELETE | Evoluir a aplicação para um banco de dados SQLite usando SQLModel, aplicando boas práticas de persistência | Utilizar UUIDs para identificação de recursos, aproximando o projeto de cenários reais | Criar rotas organizadas e uma estrutura de projeto próxima de ambientes profissionais | Implementar paginação, aprendendo a lidar com grandes volumes de dados de forma eficiente | Entender como FastAPI, Uvicorn e o padrão ASGI trabalham juntos para criar aplicações rápidas, modernas e escaláveis","não encontrado","4.9","Introdução | FastAPI, Uvicorn e ASGI | Dados da API e Metodo GET | Cliente HTTP e Método GET com UUID | Método POST | Método PUT | Método PATCH | Método DELETE | Quiz – FastAPI e métodos HTTP | Instalação do DBeaver | Persistência de Dados com SQLModel | Criando Tabela no Banco de Dados | Rotas com FastAPI | Post com SQLModel | Put, Patch e Delete com SQLModel | Quiz – FastAPI e SQLModel | Importação de Livros em Lote | Paginação na Aplicação FastAPI | Paginação no Cliente | Teste Final","Recomendado concluir módulos anteriores da trilha 'Aplicações AI com Python' ou ter base em Python","Back-end Python sólido, essencial para quem quer virar dev web."
"23","Ferramentas de AI para Desenvolvedores","CursorAI - ganhe 10x mais produtividade com a IDE de IA","1h 33min","IA (Claude/Cursor/Antigravity)","Cursor, MCP","Domine a IDE CursorAI, a ferramenta mais moderna para escrever código com IA. Aumente sua produtividade e crie mais tempo na sua rotina!","Entender o que é o Cursor AI e como ele simplifica a criação de automações | Identificar tarefas e processos manuais que podem ser facilmente integrados ao Cursor AI | Compreender como as automações via IA podem transformar rotinas de trabalho e código","não encontrado","4.7","O que é o Cursor AI? | Por que aprender a usar o Cursor AI? | Instalando e Configurando o Cursor AI | Configuração Inicial e Ambiente de Uso | Explorando a Interface e Funcionalidades | Diferenciais e Recursos Avançados | Introdução aos Modelos MCP | MCPs: Origem, Conceito e Aplicações no Cursor AI | Integração com MCPs | Casos de Uso e Dicas de Aplicação | Convertendo Linguagem com MCP","Recomendado concluir módulos anteriores da trilha 'Ferramentas de AI para Desenvolvedores' ou ter base em IA (Claude/Cursor/Antigravity)","Curso intermediário, bom para aprofundar e complementar trilha."
"24","Webdesign com IA","Masterclass Claude Design","1h","Claude / Prompt Engineering (IA)","Astro, GSAP, IA Generativa (Gemini/Seedream)","Domine o Claude Design e descubra como utilizar IA para acelerar a criação de projetos, explorar ideias e melhorar seus fluxos de design.","Como utilizar o Claude Design para criar projetos visuais com o apoio da inteligência artificial. | Como desenvolver um Design System consistente, organizando componentes, estilos e padrões de interface. | Como criar sites de alto nível de forma mais rápida e eficiente utilizando IA. | Como revisar, editar e aprimorar os designs gerados para alcançar resultados profissionais. | Técnicas para otimizar o uso de tokens, reduzindo custos e melhorando a eficiência das interações. | Boas práticas para extrair melhores resultados do Claude Design e integrar a IA ao seu fluxo de trabalho criativo.","não encontrado","4.8","Introdução | Introdução ao Claude Design | O que é um Design System | Criando um Design System | Criando site de alto nível | Como revisar e editar seu design | Dicas de como economizar tokens | Considerações Finais","Recomendado concluir módulos anteriores da trilha 'Webdesign com IA' ou ter base em Claude / Prompt Engineering (IA)","Avaliação interna alta, conteúdo consolidado."
